Trade #,Typ,Datum und Uhrzeit,Signal,Preis USD,Größe (Menge),Größe (Wert),G&V netto USD,G&V netto %,Positive Exkursion USD,Positive Exkursion %,Negative Exkursion USD,Negative Exkursion %,Kumulativer G&V USD,Kumulativer G&V %
1,Short-Ausstieg,2025-03-14 14:33,S178 SL,19518.1,25,487642.5,-310,-0.06,0,0.00,-310,-0.06,-310,-0.31
1,Short-Einstieg,2025-03-14 14:33,Short_178,19505.7,25,487642.5,-310,-0.06,0,0.00,-310,-0.06,-310,-0.31
2,Short-Ausstieg,2025-03-14 14:33,S178 SL,19518.1,25,487642.5,-310,-0.06,0,0.00,-310,-0.06,-620,-0.62
2,Short-Einstieg,2025-03-14 14:33,Short_178,19505.7,25,487642.5,-310,-0.06,0,0.00,-310,-0.06,-620,-0.62
3,Short-Ausstieg,2025-03-14 14:36,S254 SL,19547.9,25,488415,-282.5,-0.06,0,0.00,-282.5,-0.06,-902.5,-0.90
3,Short-Einstieg,2025-03-14 14:35,Short_254,19536.6,25,488415,-282.5,-0.06,0,0.00,-282.5,-0.06,-902.5,-0.90
4,Short-Ausstieg,2025-03-14 14:36,S254 SL,19547.9,25,488415,-282.5,-0.06,0,0.00,-282.5,-0.06,-1185,-1.18
4,Short-Einstieg,2025-03-14 14:35,Short_254,19536.6,25,488415,-282.5,-0.06,0,0.00,-282.5,-0.06,-1185,-1.18
5,Long-Ausstieg,2025-03-18 14:34,L078 SL,19629.7,24,471384,-271.2,-0.06,782.4,0.17,-271.2,-0.06,-1456.2,-1.46
5,Long-Einstieg,2025-03-18 14:31,Long_078,19641,24,471384,-271.2,-0.06,782.4,0.17,-271.2,-0.06,-1456.2,-1.46
6,Long-Ausstieg,2025-03-18 14:34,L078 SL,19629.7,24,471384,-271.2,-0.06,782.4,0.17,-271.2,-0.06,-1727.4,-1.73
6,Long-Einstieg,2025-03-18 14:31,Long_078,19641,24,471384,-271.2,-0.06,782.4,0.17,-271.2,-0.06,-1727.4,-1.73
7,Long-Ausstieg,2025-03-18 14:35,L140 SL,19591.6,1,19641,-49.4,-0.25,32.6,0.17,-49.4,-0.25,-1776.8,-1.78
7,Long-Einstieg,2025-03-18 14:31,Long_078,19641,1,19641,-49.4,-0.25,32.6,0.17,-49.4,-0.25,-1776.8,-1.78
8,Long-Ausstieg,2025-03-18 14:35,L140 SL,19591.6,23,451138.1,-531.3,-0.12,0,0.00,-531.3,-0.12,-2308.1,-2.31
8,Long-Einstieg,2025-03-18 14:35,Long_140,19614.7,23,451138.1,-531.3,-0.12,0,0.00,-531.3,-0.12,-2308.1,-2.31
9,Long-Ausstieg,2025-03-18 14:35,L140 SL,19591.6,24,470752.8,-554.4,-0.12,0,0.00,-554.4,-0.12,-2862.5,-2.86
9,Long-Einstieg,2025-03-18 14:35,Long_140,19614.7,24,470752.8,-554.4,-0.12,0,0.00,-554.4,-0.12,-2862.5,-2.86
10,Long-Ausstieg,2025-03-19 05:01,EOD_CLOSE,19550.6,2,39229.4,-128.2,-0.33,0,0.00,-448,-1.14,-2990.7,-2.99
10,Long-Einstieg,2025-03-18 14:35,Long_140,19614.7,2,39229.4,-128.2,-0.33,0,0.00,-448,-1.14,-2990.7,-2.99
11,Long-Ausstieg,2025-03-25 15:00,L078 TP1,20225.7,24,484113.6,1303.2,0.27,1303.2,0.27,-175.2,-0.04,-1687.5,-1.69
11,Long-Einstieg,2025-03-25 14:48,Long_078,20171.4,24,484113.6,1303.2,0.27,1303.2,0.27,-175.2,-0.04,-1687.5,-1.69
12,Long-Ausstieg,2025-03-25 15:42,L078 TP2,20278.7,24,484113.6,2575.2,0.53,2575.2,0.53,-175.2,-0.04,887.7,0.89
12,Long-Einstieg,2025-03-25 14:48,Long_078,20171.4,24,484113.6,2575.2,0.53,2575.2,0.53,-175.2,-0.04,887.7,0.89
13,Long-Ausstieg,2025-03-26 05:01,EOD_CLOSE,20283.4,1,20171.4,112,0.56,169,0.84,-7.3,-0.04,999.7,1.00
13,Long-Einstieg,2025-03-25 14:48,Long_078,20171.4,1,20171.4,112,0.56,169,0.84,-7.3,-0.04,999.7,1.00
14,Long-Ausstieg,2025-03-28 14:33,L078 SL,19657.8,25,491727.5,-282.5,-0.06,560,0.11,-282.5,-0.06,717.2,0.72
14,Long-Einstieg,2025-03-28 14:31,Long_078,19669.1,25,491727.5,-282.5,-0.06,560,0.11,-282.5,-0.06,717.2,0.72
15,Long-Ausstieg,2025-03-28 14:33,L078 SL,19657.8,25,491727.5,-282.5,-0.06,560,0.11,-282.5,-0.06,434.7,0.43
15,Long-Einstieg,2025-03-28 14:31,Long_078,19669.1,25,491727.5,-282.5,-0.06,560,0.11,-282.5,-0.06,434.7,0.43
16,Long-Ausstieg,2025-03-28 15:06,L140 SL,19624.1,25,490885,-282.5,-0.06,1297.5,0.26,-282.5,-0.06,152.2,0.15
