Trade #,Typ,Datum und Uhrzeit,Signal,Preis USD,Größe (Menge),Größe (Wert),G&V netto USD,G&V netto %,Positive Exkursion USD,Positive Exkursion %,Negative Exkursion USD,Negative Exkursion %,Kumulativer G&V USD,Kumulativer G&V %
1,Short-Ausstieg,2025-03-14 14:33,S178 SL,19547.75,25,9765250,-8625,-0.09,0,0.00,-8625,-0.09,-8625,-8.62
1,Short-Einstieg,2025-03-14 14:33,Short_178,19530.5,25,9765250,-8625,-0.09,0,0.00,-8625,-0.09,-8625,-8.62
2,Short-Ausstieg,2025-03-14 14:33,S178 SL,19547.75,25,9765250,-8625,-0.09,0,0.00,-8625,-0.09,-17250,-17.25
2,Short-Einstieg,2025-03-14 14:33,Short_178,19530.5,25,9765250,-8625,-0.09,0,0.00,-8625,-0.09,-17250,-17.25
3,Short-Ausstieg,2025-03-14 14:36,S254 SL,19574,25,9781375,-5625,-0.06,0,0.00,-5625,-0.06,-22875,-22.87
3,Short-Einstieg,2025-03-14 14:35,Short_254,19562.75,25,9781375,-5625,-0.06,0,0.00,-5625,-0.06,-22875,-22.87
4,Short-Ausstieg,2025-03-14 14:36,S254 SL,19574,25,9781375,-5625,-0.06,0,0.00,-5625,-0.06,-28500,-28.50
4,Short-Einstieg,2025-03-14 14:35,Short_254,19562.75,25,9781375,-5625,-0.06,0,0.00,-5625,-0.06,-28500,-28.50
5,Long-Ausstieg,2025-03-18 14:34,L078 SL,19841.5,18,7146990,-4050,-0.06,12960,0.18,-4050,-0.06,-32550,-32.55
5,Long-Einstieg,2025-03-18 14:31,Long_078,19852.75,18,7146990,-4050,-0.06,12960,0.18,-4050,-0.06,-32550,-32.55
6,Long-Ausstieg,2025-03-18 14:34,L078 SL,19841.5,18,7146990,-4050,-0.06,12960,0.18,-4050,-0.06,-36600,-36.60
6,Long-Einstieg,2025-03-18 14:31,Long_078,19852.75,18,7146990,-4050,-0.06,12960,0.18,-4050,-0.06,-36600,-36.60
