Trade #,Typ,Datum und Uhrzeit,Signal,Preis USD,Größe (Menge),Größe (Wert),G&V netto USD,G&V netto %,Positive Exkursion USD,Positive Exkursion %,Negative Exkursion USD,Negative Exkursion %,Kumulativer G&V USD,Kumulativer G&V %
1,Long-Ausstieg,2023-04-18 15:42,L078 TP1,13280.5,25,6631625,8625,0.13,8625,0.13,-2125,-0.03,8625,8.63
1,Long-Einstieg,2023-04-18 15:34,Long_078,13263.25,25,6631625,8625,0.13,8625,0.13,-2125,-0.03,8625,8.63
2,Long-Ausstieg,2023-04-18 15:57,L078 SL,13261.25,25,6631625,-1000,-0.02,17250,0.26,-2125,-0.03,7625,7.63
2,Long-Einstieg,2023-04-18 15:34,Long_078,13263.25,25,6631625,-1000,-0.02,17250,0.26,-2125,-0.03,7625,7.63
3,Long-Ausstieg,2023-04-21 15:32,L078 TP1,13071.5,27,7043355,15255,0.22,15255,0.22,0,0.00,22880,22.88
3,Long-Einstieg,2023-04-21 15:31,Long_078,13043.25,27,7043355,15255,0.22,15255,0.22,0,0.00,22880,22.88
4,Long-Ausstieg,2023-04-21 15:37,L078 SL,13041.25,27,7043355,-1080,-0.02,16605,0.24,-1080,-0.02,21800,21.80
4,Long-Einstieg,2023-04-21 15:31,Long_078,13043.25,27,7043355,-1080,-0.02,16605,0.24,-1080,-0.02,21800,21.80
5,Short-Ausstieg,2023-04-28 15:32,S178 TP1,13217.5,30,7945650,15150,0.19,15150,0.19,-750,-0.01,36950,36.95
5,Short-Einstieg,2023-04-28 15:31,Short_178,13242.75,30,7945650,15150,0.19,15150,0.19,-750,-0.01,36950,36.95
6,Short-Ausstieg,2023-04-28 15:41,S178 TP2,13192.25,30,7945650,30300,0.38,30300,0.38,-750,-0.01,67250,67.25
6,Short-Einstieg,2023-04-28 15:31,Short_178,13242.75,30,7945650,30300,0.38,30300,0.38,-750,-0.01,67250,67.25
7,Short-Ausstieg,2023-05-01 00:01,EOD_CLOSE,13312.75,1,264855,-1400,-0.53,1410,0.53,-1865,-0.70,65850,65.85
7,Short-Einstieg,2023-04-28 15:31,Short_178,13242.75,1,264855,-1400,-0.53,1410,0.53,-1865,-0.70,65850,65.85
8,Long-Ausstieg,2023-05-04 16:17,L140 SL,13023,41,10689110,-10250,-0.10,25215,0.24,-10250,-0.10,55600,55.60
8,Long-Einstieg,2023-05-04 15:44,Long_140,13035.5,41,10689110,-10250,-0.10,25215,0.24,-10250,-0.10,55600,55.60
9,Long-Ausstieg,2023-05-04 16:17,L140 SL,13023,41,10689110,-10250,-0.10,25215,0.24,-10250,-0.10,45350,45.35
9,Long-Einstieg,2023-05-04 15:44,Long_140,13035.5,41,10689110,-10250,-0.10,25215,0.24,-10250,-0.10,45350,45.35
10,Long-Ausstieg,2023-05-05 06:01,EOD_CLOSE,13109.75,1,260710,1485,0.57,1915,0.73,-675,-0.26,46835,46.84
10,Long-Einstieg,2023-05-04 15:44,Long_140,13035.5,1,260710,1485,0.57,1915,0.73,-675,-0.26,46835,46.84
11,Short-Ausstieg,2023-05-23 18:30,S178 TP1,13830,36,9986220,28620,0.29,28620,0.29,-5940,-0.06,75455,75.46
11,Short-Einstieg,2023-05-23 15:51,Short_178,13869.75,36,9986220,28620,0.29,28620,0.29,-5940,-0.06,75455,75.46
12,Short-Ausstieg,2023-05-23 18:41,S178 TP2,13793.25,36,9986220,55080,0.55,55080,0.55,-5940,-0.06,130535,130.54
12,Short-Einstieg,2023-05-23 15:51,Short_178,13869.75,36,9986220,55080,0.55,55080,0.55,-5940,-0.06,130535,130.54
13,Short-Ausstieg,2023-05-24 06:01,EOD_CLOSE,13744.75,1,277395,2500,0.90,3195,1.15,-165,-0.06,133035,133.04
13,Short-Einstieg,2023-05-23 15:51,Short_178,13869.75,1,277395,2500,0.90,3195,1.15,-165,-0.06,133035,133.04
14,Short-Ausstieg,2023-05-26 15:37,S178 SL,14057.75,58,16293940,-13050,-0.08,27550,0.17,-13050,-0.08,119985,119.99
14,Short-Einstieg,2023-05-26 15:34,Short_178,14046.5,58,16293940,-13050,-0.08,27550,0.17,-13050,-0.08,119985,119.99
15,Short-Ausstieg,2023-05-26 15:37,S178 SL,14057.75,58,16293940,-13050,-0.08,27550,0.17,-13050,-0.08,106935,106.94
15,Short-Einstieg,2023-05-26 15:34,Short_178,14046.5,58,16293940,-13050,-0.08,27550,0.17,-13050,-0.08,106935,106.94
16,Short-Ausstieg,2023-05-26 15:40,S254 SL,14071.75,1,280930,-505,-0.18,475,0.17,-505,-0.18,106430,106.43
16,Short-Einstieg,2023-05-26 15:34,Short_178,14046.5,1,280930,-505,-0.18,475,0.17,-505,-0.18,106430,106.43
17,Short-Ausstieg,2023-05-26 15:40,S254 SL,14071.75,57,16028970,-12825,-0.08,5415,0.03,-12825,-0.08,93605,93.61
17,Short-Einstieg,2023-05-26 15:37,Short_254,14060.5,57,16028970,-12825,-0.08,5415,0.03,-12825,-0.08,93605,93.61
18,Short-Ausstieg,2023-05-26 15:40,S254 SL,14071.75,58,16310180,-13050,-0.08,5510,0.03,-13050,-0.08,80555,80.55
18,Short-Einstieg,2023-05-26 15:37,Short_254,14060.5,58,16310180,-13050,-0.08,5510,0.03,-13050,-0.08,80555,80.55
19,Short-Ausstieg,2023-05-29 00:01,EOD_CLOSE,14426,2,562420,-14620,-2.60,190,0.03,-15970,-2.84,65935,65.94
19,Short-Einstieg,2023-05-26 15:37,Short_254,14060.5,2,562420,-14620,-2.60,190,0.03,-15970,-2.84,65935,65.94
20,Long-Ausstieg,2023-05-30 15:32,L078 SL,14478.75,41,11881800,-9225,-0.08,3895,0.03,-9225,-0.08,56710,56.71
20,Long-Einstieg,2023-05-30 15:31,Long_078,14490,41,11881800,-9225,-0.08,3895,0.03,-9225,-0.08,56710,56.71
21,Long-Ausstieg,2023-05-30 15:32,L078 SL,14478.75,41,11881800,-9225,-0.08,3895,0.03,-9225,-0.08,47485,47.49
21,Long-Einstieg,2023-05-30 15:31,Long_078,14490,41,11881800,-9225,-0.08,3895,0.03,-9225,-0.08,47485,47.49
22,Long-Ausstieg,2023-05-30 15:53,L140 SL,14462.5,1,289800,-550,-0.19,1390,0.48,-550,-0.19,46935,46.94
22,Long-Einstieg,2023-05-30 15:31,Long_078,14490,1,289800,-550,-0.19,1390,0.48,-550,-0.19,46935,46.94
