compiled, 609415 bars, 73 variants, cost=2.5
  20 done
  40 done
  60 done

name                       n    PF0    PFc       net    WR   maxDD strk  shrp
sl18_tp0                  92   1.52   0.99      -135  60.9   5,238    6 -0.06
sl30                      87   1.80   0.98      -221  59.8   4,880    5 -0.12
sl22_tp0                  91   1.33   0.89    -1,815  61.5   6,438    6  -0.8
sl14_tp0                  99   1.11   0.71    -4,995  51.5   6,813    9 -2.31
sl18                      93   1.08   0.64    -5,306  53.8   7,630    6 -2.92
sl18_tp8                  99   1.18   0.63    -4,735  48.5   6,671    7 -2.93
sl22_tp8                  98   1.16   0.62    -4,915  51.0   6,531    6 -2.88
volSL_k0.7_fl6           201   1.19   0.61   -27,730  35.8  29,417   13 -3.84
sl26                      92   1.02   0.61    -6,090  55.4   8,670    5 -2.89
volSL_k0.7_fl3           203   1.29   0.61   -33,359  34.0  35,046   13  -4.1
sl22                      92   1.01   0.60    -6,106  54.3   7,950    5 -3.06
volSL_k0.55_fl6          203   1.15   0.59   -30,673  34.0  32,360   13  -4.0
sl16                      97   1.00   0.58    -6,446  50.5   7,009   10 -3.44
volSL_k0.9_fl3           199   1.16   0.58   -29,764  36.7  30,889   13 -4.24
volSL_k0.55_fl3          209   1.33   0.58   -43,757  30.1  45,444   26 -4.41
volSL_k0.9_fl6           199   1.11   0.58   -28,572  37.2  29,697   13 -4.16
sl14_tp8                 100   1.08   0.56    -5,770  45.0   7,166    7 -3.75
volk0.45_cut30           209   1.22   0.55   -48,702  29.2  50,951   25 -4.99
sl11.25                  102   0.99   0.55   -13,911  42.2  15,036   15  -4.3
sl14                      98   0.94   0.54    -7,301  48.0   7,925   10 -3.98
entNudge4                123   1.51   0.54   -25,095  34.1  25,437   11 -5.59
volSL_k0.2_fl6           203   1.07   0.54   -35,230  33.0  36,917   13  -4.8
volSL_k0.3_fl6           203   1.07   0.54   -35,230  33.0  36,917   13  -4.8
entNudge0                104   1.18   0.54   -26,537  28.8  26,537   21 -4.51
volSL_k0.4_fl6           203   1.06   0.53   -35,374  33.0  37,061   13 -4.81
sl9                      105   1.00   0.53   -13,832  38.1  14,957   15 -4.98
volk0.45_cut60           224   1.16   0.53   -55,282  28.1  57,532   25 -5.32
tpNudge0                 119   1.15   0.52   -32,016  27.7  32,976   14  -5.3
volk0.3_cut30            213   1.12   0.50   -58,983  26.8  58,983   31 -5.78
entNudge1                106   1.14   0.50   -28,687  29.2  32,059   19 -5.91
sl8                      106   0.97   0.48   -14,113  34.0  15,238   15 -5.64
volk0.3_cut60            230   1.06   0.47   -67,068  25.7  67,068   31 -6.31
tpNudge3                 119   1.09   0.46   -34,720  26.9  35,080   14 -6.36
sl6                      112   0.94   0.44   -23,251  29.5  24,938   15 -7.02
volSL_k0.2_fl3           221   1.07   0.42   -79,057  22.6  79,264   31 -7.26
cutoff45                 120   1.01   0.42   -37,634  25.0  37,634   15 -8.09
noImpulse                115   1.04   0.42   -35,322  25.2  35,322   15 -7.42
tpNudge12                102   1.29   0.42   -25,823  24.5  25,823   15 -7.53
volSL_k0.3_fl3           221   1.05   0.42   -78,916  22.6  79,123   31 -7.45
volSL_k0.4_fl3           219   1.00   0.41   -78,605  22.8  78,813   31 -7.69
cutoff60                 124   0.97   0.41   -39,846  24.2  39,846   15 -8.39
tpNudge8                 113   1.08   0.40   -33,746  25.7  33,746   15  -7.4
cutoff90                 131   0.95   0.40   -42,457  23.7  42,457   19 -8.38
noEarly                  113   0.99   0.40   -36,966  24.8  36,966   15 -7.96
cutoff15                  65   1.10   0.39   -17,740  26.2  17,740   13 -7.15
be8                      115   0.94   0.38   -39,411  24.3  39,411   15 -8.21
baseline                 117   0.91   0.37   -41,105  23.1  41,105   15 -8.59
tpNudge5                 117   0.91   0.37   -41,105  23.1  41,105   15 -8.59
entNudge2                117   0.91   0.37   -41,105  23.1  41,105   15 -8.59
be2                      117   0.91   0.37   -41,105  23.1  41,105   15 -8.59
minRange8                117   0.91   0.37   -41,105  23.1  41,105   15 -8.59
minRange14               117   0.91   0.37   -41,105  23.1  41,105   15 -8.59
minRange20               117   0.91   0.37   -41,105  23.1  41,105   15 -8.59
minRange28               117   0.91   0.37   -41,105  23.1  41,105   15 -8.59
minRange40               117   0.91   0.37   -41,105  23.1  41,105   15 -8.59
minRange60               117   0.91   0.37   -41,105  23.1  41,105   15 -8.59
pivot2                   117   0.91   0.37   -41,105  23.1  41,105   15 -8.59
pivot3                   117   0.91   0.37   -41,105  23.1  41,105   15 -8.59
pivot4                   117   0.91   0.37   -41,105  23.1  41,105   15 -8.59
cutoff30                 117   0.91   0.37   -41,105  23.1  41,105   15 -8.59
skip1                    117   0.91   0.37   -41,105  23.1  41,105   15 -8.59
mondayOn                 117   0.91   0.37   -41,105  23.1  41,105   15 -8.59
be4                      117   0.90   0.36   -41,505  23.1  41,505   15 -8.66
noAccumMom               114   0.87   0.36   -42,297  21.1  42,297   15 -8.56
be0                      117   0.90   0.36   -41,280  22.2  41,280   15 -8.79
be1                      117   0.90   0.36   -41,531  22.2  41,531   15 -8.73
noRetrace                114   0.84   0.35   -43,469  21.1  43,469   15 -8.97
entNudge6                130   1.33   0.33   -36,812  23.8  36,812   13 -9.13
tpNudge18                 99   1.08   0.28   -29,873  20.2  29,873   22 -10.37
skip2                     91   0.72   0.27   -38,167  20.9  38,167   16 -11.36
noKW                     113   0.71   0.26   -44,728  20.4  45,369   17 -10.1
noWedThu                  73   0.66   0.22   -30,964  20.5  30,964   13 -13.09
skip3                     77   0.58   0.21   -35,085  16.9  35,085   14 -12.06
